nationalBoundaryIdentifier,settlementDate,settlementPeriod,recordType,publishingPeriodCommencingTime,demand,activeFlag,spnDemand,spnGeneration
N,2022-01-01,19,DATF,2022-01-01 08:15:00,24441,Y,,
N,2022-01-01,20,DATF,2022-01-01 09:15:00,25240,Y,,
N,2022-01-01,21,DATF,2022-01-01 09:45:00,25318,Y,,
N,2022-01-01,22,DATF,2022-01-01 10:15:00,25805,Y,,
N,2022-01-01,23,DATF,2022-01-01 10:45:00,25000,Y,,
N,2022-01-01,24,DATF,2022-01-01 11:15:00,25248,Y,,
N,2022-01-01,25,DATF,2022-01-01 11:45:00,25715,Y,,
N,2022-01-01,26,DATF,2022-01-01 12:15:00,25859,Y,,
N,2022-01-01,27,DATF,2022-01-01 12:45:00,25100,Y,,
N,2022-01-01,28,DATF,2022-01-01 13:15:00,24900,Y,,
N,2022-01-01,29,DATF,2022-01-01 13:45:00,25126,Y,,
N,2022-01-01,30,DATF,2022-01-01 14:15:00,25578,Y,,
N,2022-01-01,31,DATF,2022-01-01 14:45:00,26042,Y,,
N,2022-01-01,32,DATF,2022-01-01 15:15:00,26865,Y,,
N,2022-01-01,33,DATF,2022-01-01 15:45:00,28391,Y,,
N,2022-01-01,34,DATF,2022-01-01 16:15:00,30301,Y,,
N,2022-01-01,35,DATF,2022-01-01 16:45:00,30975,Y,,
N,2022-01-01,36,DATF,2022-01-01 17:15:00,31017,Y,,
N,2022-01-01,37,DATF,2022-01-01 17:45:00,30650,Y,,
N,2022-01-01,38,DATF,2022-01-01 18:15:00,30042,Y,,
N,2022-01-01,39,DATF,2022-01-01 18:45:00,29240,Y,,
N,2022-01-01,40,DATF,2022-01-01 19:15:00,28334,Y,,
N,2022-01-01,41,DATF,2022-01-01 19:45:00,27530,Y,,
N,2022-01-01,42,DATF,2022-01-01 20:15:00,26604,Y,,
N,2022-01-01,43,DATF,2022-01-01 20:45:00,25728,Y,,
N,2022-01-01,44,DATF,2022-01-01 21:15:00,24849,Y,,
N,2022-01-01,45,DATF,2022-01-01 21:45:00,24711,Y,,
N,2022-01-01,46,DATF,2022-01-01 22:15:00,24018,Y,,
N,2022-01-01,47,DATF,2022-01-01 22:45:00,24382,Y,,
N,2022-01-01,48,DATF,2022-01-01 23:15:00,24182,Y,,
N,2022-01-02,1,DATF,2022-01-01 23:45:00,22972,Y,,
N,2022-01-02,2,DATF,2022-01-02 00:15:00,22923,Y,,
N,2022-01-02,3,DATF,2022-01-02 00:45:00,23025,Y,,
N,2022-01-02,4,DATF,2022-01-02 01:15:00,22726,Y,,
N,2022-01-02,5,DATF,2022-01-02 01:45:00,22339,Y,,
N,2022-01-02,6,DATF,2022-01-02 02:15:00,22290,Y,,
N,2022-01-02,7,DATF,2022-01-02 02:45:00,22569,Y,,
N,2022-01-02,8,DATF,2022-01-02 03:15:00,21953,Y,,
N,2022-01-02,9,DATF,2022-01-02 03:45:00,22348,Y,,
N,2022-01-02,10,DATF,2022-01-02 04:15:00,22179,Y,,
N,2022-01-02,11,DATF,2022-01-02 04:45:00,22716,Y,,
N,2022-01-02,12,DATF,2022-01-02 05:15:00,22657,Y,,
N,2022-01-02,13,DATF,2022-01-02 05:45:00,22698,Y,,
N,2022-01-02,14,DATF,2022-01-02 06:15:00,22813,Y,,
N,2022-01-02,15,DATF,2022-01-02 06:45:00,22070,Y,,
N,2022-01-02,16,DATF,2022-01-02 07:15:00,22209,Y,,
N,2022-01-02,17,DATF,2022-01-02 07:45:00,22692,Y,,
N,2022-01-02,18,DATF,2022-01-02 08:15:00,23488,Y,,
N,2022-01-02,19,DATF,2022-01-02 08:15:00,23177,Y,,
N,2022-01-02,20,DATF,2022-01-02 09:15:00,24205,Y,,
N,2022-01-02,21,DATF,2022-01-02 09:45:00,26028,Y,,
N,2022-01-02,22,DATF,2022-01-02 10:15:00,26644,Y,,
N,2022-01-02,23,DATF,2022-01-02 10:45:00,27613,Y,,
N,2022-01-02,24,DATF,2022-01-02 11:15:00,28002,Y,,
N,2022-01-02,25,DATF,2022-01-02 11:45:00,28481,Y,,
N,2022-01-02,26,DATF,2022-01-02 12:15:00,28926,Y,,
N,2022-01-02,27,DATF,2022-01-02 12:45:00,29012,Y,,
N,2022-01-02,28,DATF,2022-01-02 13:15:00,29272,Y,,
N,2022-01-02,29,DATF,2022-01-02 13:45:00,29347,Y,,
N,2022-01-02,30,DATF,2022-01-02 14:15:00,29689,Y,,
N,2022-01-02,31,DATF,2022-01-02 14:45:00,30293,Y,,
N,2022-01-02,32,DATF,2022-01-02 15:15:00,31079,Y,,
